2024-02-21 04:09:59,572 INFO    StreamThr :10836 [internal.py:wandb_internal():86] W&B internal server running at pid: 10836, started at: 2024-02-21 04:09:59.571789
2024-02-21 04:09:59,574 DEBUG   HandlerThread:10836 [handler.py:handle_request():146] handle_request: status
2024-02-21 04:09:59,577 INFO    WriterThread:10836 [datastore.py:open_for_write():87] open: /home/kjk/Documents/Workspace/NeuralNetfromScratch/src/models/wandb/run-20240221_040954-et0c7tx4/run-et0c7tx4.wandb
2024-02-21 04:09:59,578 DEBUG   SenderThread:10836 [sender.py:send():382] send: header
2024-02-21 04:09:59,578 DEBUG   SenderThread:10836 [sender.py:send():382] send: run
2024-02-21 04:09:59,847 INFO    SenderThread:10836 [dir_watcher.py:__init__():211] watching files in: /home/kjk/Documents/Workspace/NeuralNetfromScratch/src/models/wandb/run-20240221_040954-et0c7tx4/files
2024-02-21 04:09:59,847 INFO    SenderThread:10836 [sender.py:_start_run_threads():1136] run started: et0c7tx4 with start time 1708517398.682761
2024-02-21 04:09:59,851 DEBUG   HandlerThread:10836 [handler.py:handle_request():146] handle_request: check_version
2024-02-21 04:09:59,852 DEBUG   SenderThread:10836 [sender.py:send_request():409] send_request: check_version
2024-02-21 04:09:59,912 DEBUG   HandlerThread:10836 [handler.py:handle_request():146] handle_request: run_start
2024-02-21 04:09:59,913 DEBUG   HandlerThread:10836 [system_info.py:__init__():27] System info init
2024-02-21 04:09:59,913 DEBUG   HandlerThread:10836 [system_info.py:__init__():42] System info init done
2024-02-21 04:09:59,913 INFO    HandlerThread:10836 [system_monitor.py:start():194] Starting system monitor
2024-02-21 04:09:59,913 INFO    SystemMonitor:10836 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-21 04:09:59,913 INFO    HandlerThread:10836 [system_monitor.py:probe():214] Collecting system info
2024-02-21 04:09:59,913 INFO    SystemMonitor:10836 [interfaces.py:start():190] Started cpu monitoring
2024-02-21 04:09:59,914 INFO    SystemMonitor:10836 [interfaces.py:start():190] Started disk monitoring
2024-02-21 04:09:59,914 INFO    SystemMonitor:10836 [interfaces.py:start():190] Started gpu monitoring
2024-02-21 04:09:59,914 INFO    SystemMonitor:10836 [interfaces.py:start():190] Started memory monitoring
2024-02-21 04:09:59,915 INFO    SystemMonitor:10836 [interfaces.py:start():190] Started network monitoring
2024-02-21 04:09:59,918 DEBUG   HandlerThread:10836 [system_info.py:probe():151] Probing system
2024-02-21 04:09:59,918 DEBUG   HandlerThread:10836 [system_info.py:_probe_git():136] Probing git
2024-02-21 04:09:59,921 DEBUG   HandlerThread:10836 [system_info.py:_probe_git():144] Probing git done
2024-02-21 04:09:59,921 DEBUG   HandlerThread:10836 [system_info.py:probe():199] Probing system done
